Datos Arq,Unnamed: 1,Unnamed: 2,Unnamed: 3,Viga secundaria,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Vigas Principales,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Columna,Unnamed: 19,Unnamed: 20,Atiezadores,Unnamed: 22,Unnamed: 23
L1,5.9,m,,Izq,,,Der,,,,Izq,,,Der,,,,At,37.44,m2,Sentido b,,
L2,5.8,m,,As,36.0,ksi,As,36.0,ksi,,As,36,ksi,As,36,ksi,,Pu,241.02550588235292,t,Num,1.0,u
L3,6.4,m,,Lv,5.9,m,Lv,5.8,m,,Lt,6.4,m,Lt,6.4,m,,Pr,571.9025981294586,t,l,9.0,cm
L4,6.4,m,,Num,4.0,u,Num,4.0,u,,Num,4,u,Num,4,u,,D/C,0.42144502695158803,,e,0.7,cm
Pisos,4.0,u,,at,1.1800000000000002,m,at,1.16,m,,Tipo,CENTRAL,,Tipo,CENTRAL,,,Datos de col,,,Ia,42.525,cm4
He,3.6,m,,W,9.711647328000002,t,W,9.388355136,t,,Pi,9.711647328000002,t,Pi,9.388355136,t,,As,36.0,ksi,Imin,38.154239999999994,cm4
,,,,wr,1.6460419200000003,t/m,wr,1.61868192,t/m,,Tipo,EMP,,Tipo,EMP,,,b,45.0,SISM,OK,,
Cm,0.5,t/m2,,Mu,7.162339904400001,t-m,Mu,6.8065574736,t-m,,Mu,24.861817159680005,t-m,Mu,24.03418914816,t-m,,h,45.0,SISM,Sentido h,,
Cv,0.48,t/m2,,Mr,9.282747997189038,t-m,Mr,9.282747997189038,t-m,,Mr,35.30165565706255,t-m,Mr,35.30165565706255,t-m,,e,1.2,cm,Num,1.0,u
,,,,D/C,0.771575389805785,,D/C,0.7332481152845184,,,D/C,0.7042677375021668,,D/C,0.6808232843705633,,,As,260.63999999999976,cm2,l,9.0,cm
Cu,1.3679999999999999,t/m2,,Apoyo,4.0,OK,Apoyo,4.0,OK,,Apoyo lat,,OK,Apoyo lat,,OK,,Peso,204.60239999999982,kg/m,e,0.7,cm
,,,,Datos de viga,,,Datos de viga,,,,Cortante,,OK,Cortante,,OK,,Ix,67272.59519999992,cm4,Ia,42.525,cm4
