Materiales,Unnamed: 1,Unnamed: 2,Unnamed: 3,Calculos,Unnamed: 5,Unnamed: 6,Unnamed: 7,Atiezadores,Unnamed: 9,Unnamed: 10,Unnamed: 11,Placa Base,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,L,L.1,kl/rx,kl/ry,fex,fey,fcrx,fcry,Prx,Pry,Pr,Unnamed: 30,Unnamed: 31
As,36.0,ksi,,At,37.44,m2,,Sentido b,,,,Pu,204.87167999999997,t,fc,180.0,kg/cm2,,1e-05,0.001,7.469347908637205e-05,7.469347908637205e-05,3714973277491888.5,3714973277491888.5,2529.866479268429,2529.866479268429,593.4459592408705,593.4459592408705,593.4459592408705,,
fc,210.0,kg/cm2,,Pu,241.02550588235292,t,,Num,1.0,u,,x,10,cm,fs,98.86153846153846,kg/cm2,,0.1,10.0,0.7469347908637206,0.7469347908637206,37149732.77491888,37149732.77491888,2529.7943716718096,2529.7943716718096,593.4290445292859,593.4290445292859,593.4290445292859,x,y
Datos Arq,,,,Pr,578.4161036711881,t,,l,9.0,cm,,xh,2.5,cm,As,36.0,ksi,,0.2,20.0,1.4938695817274412,1.4938695817274412,9287433.19372972,9287433.19372972,2529.5780612110493,2529.5780612110493,593.3783032866426,593.3783032866426,593.3783032866426,0,578.4161036711881
L1,5.9,m,,D/C,0.4166991623375835,,,e,0.7,cm,,Sentido b,,,Sentido h,,,,0.3,30.0,2.2408043725911617,2.2408043725911617,4127748.0861020978,4127748.0861020978,2529.2175848771326,2529.2175848771326,593.2937441901378,593.2937441901378,593.2937441901378,3,578.4161036711881
L2,5.8,m,,,,,,Ia,42.525,cm4,,Mu,921922.5599999999,kg-cm,Mu,921922.5599999999,kg-cm,,0.4,40.0,2.9877391634548824,2.9877391634548824,2321858.29843243,2321858.29843243,2528.713004308788,2528.713004308788,593.1753816987377,593.1753816987377,593.1753816987377,,
L3,6.4,m,,,,,,Imin,38.154239999999994,cm4,,Mu,,kg-cm,Mu,,kg-cm,,0.5,50.0,3.734673954318603,3.734673954318603,1485989.3109967548,1485989.3109967548,2528.06440577564,2528.06440577564,593.0232360492259,593.0232360492259,593.0232360492259,3,0
L4,6.4,m,,Datos de col,,,,OK,,,,Mu,921922.5599999999,kg-cm,Mu,921922.5599999999,kg-cm,,0.6,60.0,4.481608745182323,4.481608745182323,1031937.0215255244,1031937.0215255244,2527.2719001536248,2527.2719001536248,592.8373332504361,592.8373332504361,592.8373332504361,3,578.4161036711881
Pisos,4.0,u,,b,45.0,SISM,,Sentido h,,,,B,65,cm,H,65.0,cm,,0.7,70.0,5.228543536046044,5.228543536046044,758157.8117330384,758157.8117330384,2526.3356228934076,2526.3356228934076,592.6177050758434,592.6177050758434,592.6177050758434,,
He,3.0,m,,h,45.0,SISM,,Num,1.0,u,,q1,68.63247905325443,OK,q1,68.63247905325443,OK,,0.8,80.0,5.975478326909765,5.975478326909765,580464.5746081074,580464.5746081074,2525.255733981792,2525.255733981792,592.3643890545123,592.3643890545123,592.3643890545123,,
Cm,0.5,t/m2,,e,1.2,cm,,l,9.0,cm,,q2,28.348197869822474,kg/cm2,q2,28.348197869822474,kg/cm2,,0.9,90.0,6.722413117773486,6.722413117773486,458638.67623356637,458638.67623356637,2524.0324178961637,2524.0324178961637,592.0774284604099,592.0774284604099,592.0774284604099,,
Cv,0.48,t/m2,,K,1.2,,,e,0.7,cm,,m,12.25,cm,n,12.25,cm,,1.0,100.0,7.469347908637206,7.469347908637206,371497.3277491887,371497.3277491887,2522.665883551962,2522.665883551962,591.7568723000844,591.7568723000844,591.7568723000844,,
,,,,A,260.63999999999976,cm2,,Ia,42.525,cm4,,q3,61.04044144560764,kg/cm2,q3,61.04044144560764,kg/cm2,,1.1,110.00000000000001,8.216282699500926,8.216282699500926,307022.58491668495,307022.58491668495,2521.156364243223,2521.156364243223,591.4027752987178,591.4027752987178,591.4027752987178,,
fy,2529.8664792691497,kg/cm2,,Peso,204.60239999999982,kg/m,,Imin,38.154239999999994,cm4,,Mpl,322380.54355313606,kg-cm,Mpl,322380.54355313606,kg-cm,,1.2,120.0,8.963217490364647,8.963217490364647,257984.2553813811,257984.2553813811,2519.5041175761976,2519.5041175761976,591.0151978845536,591.0151978845536,591.0151978845536,,
Cu,1.3679999999999999,t/m2,,Ix,67272.59519999992,cm4,,OK,,,,Atiez,0,u,Atiez,0.0,u,,1.3,130.0,9.710152281228368,9.710152281228368,219820.90399360284,219820.90399360284,2517.709425396085,2517.709425396085,590.5942061717116,590.5942061717116,590.5942061717116,,
E,2100000.0,kg/cm2,,Iy,67272.59519999992,cm4,,,,,,Mpl,322380.54355313606,kg-cm,Mpl,322380.54355313606,kg-cm,,1.4,140.0,10.457087072092088,10.457087072092088,189539.4529332596,189539.4529332596,2515.7725937069035,2515.7725937069035,590.1398719413901,590.1398719413901,590.1398719413901,,
cte1,28.811166816589246,,,Sx,2989.8931199999965,cm3,,RELLENO DE HORMIGON,,,,e,34.29687559501267,mm,e,34.29687559501267,mm,,1.5,150.0,11.204021862955809,11.204021862955809,165109.9234440839,165109.9234440839,2513.693952584535,2513.693952584535,589.6522726214694,589.6522726214694,589.6522726214694,,
cte2,135.70059570613535,,,Sy,2989.8931199999965,cm3,,,,,,,,,,,,,1.6,160.0,11.95095665381953,11.95095665381953,145116.14365202686,145116.14365202686,2511.473856082973,2511.473856082973,589.1314912645189,589.1314912645189,589.1314912645189,,
Ca,0.406145668580508,,,Zx,3454.0559999999996,cm3,,NO,,,,,Dimensiones placa,,,,,,1.7,170.0,12.69789144468325,12.69789144468325,128545.78814850822,128545.78814850822,2509.1126821338166,2509.1126821338166,588.5776165242218,588.5776165242218,588.5776165242218,,
Sin hormigon,,,,Zy,3454.0559999999996,cm3,,,,,,,B,650,mm,,405,,1.8,180.0,13.444826235546971,13.444826235546971,114659.66905839159,114659.66905839159,2506.6108324390466,2506.6108324390466,587.9907426302213,587.9907426302213,587.9907426302213,,
SISM,55.99069488573971,,,rx,16.06565947493724,cm,,Ac,1764.3600000000001,cm2,,,H,650,mm,,411,,1.9,190.0,14.191761026410692,14.191761026410692,102907.84702193594,102907.84702193594,2503.9687323571256,2503.9687323571256,587.3709693614045,587.3709693614045,587.3709693614045,,
